施設名,カテゴリ,都道府県,市区町村,最寄駅,対象年齢,予算,屋内外,URL
牛たん炭焼 利久,子連れOKレストラン,東京都,仙台市ほか,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-jte5
京王あそびの森 HUGHUG,屋内施設,東京都,日野市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/HUGHUG-501y
京王れーるランド,博物館・科学館,東京都,日野市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-q6wm
京都ポルタ 地下街レストラン,子連れOKレストラン,東京都,京都市下京区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-c2x1
京都駅ビル ザ・キューブ・ジェイアール京都伊勢丹 レストラン,子連れOKレストラン,東京都,京都市下京区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-pqij
京都四条河原町 OPA・高島屋 レストランフロア,子連れOKレストラン,東京都,京都市下京区,,2-3/4-6,,屋内,https://kyounoko.jp/spot/OPA-ppda
玉川高島屋S・C,屋内施設,東京都,世田谷区,futako-tamagawa,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/S-C-mchr
錦糸公園 噴水,公園,東京都,墨田区,kinshicho,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-4f5k
錦糸町オリナス レストラン街,子連れOKレストラン,東京都,墨田区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-s76h
近鉄百貨店奈良店 レストランフロア,子連れOKレストラン,東京都,奈良市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-9mx4
金沢百番街 あんと レストラン,子連れOKレストラン,東京都,金沢市,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-6u2d
駒沢オリンピック公園,公園,東京都,世田谷区,komazawa-daigaku,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-rl1c
駒沢オリンピック公園 ジャブジャブ池,公園,東京都,世田谷区,komazawa-daigaku,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-c8bk
元祖長浜屋,子連れOKレストラン,東京都,福岡市長浜,,4-6,,屋内,https://kyounoko.jp/spot/-hqzu
戸山公園 箱根山地区 じゃぶじゃぶ池,公園,東京都,新宿区,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-cxm1
光が丘公園,公園,東京都,練馬区,hikarigaoka,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-p5xx
光が丘公園 水景施設,公園,東京都,練馬区,hikarigaoka,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-kmjw
江戸川区自然動物園（行船公園）,動物園,東京都,江戸川区,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-cpuc
江戸東京たてもの園,博物館・科学館,東京都,小金井市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-zdp2
高松オルネ・コトデンそごう周辺 レストラン,子連れOKレストラン,東京都,高松市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-n9ly
高尾山,公園,東京都,八王子市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-pbaf
国営昭和記念公園,公園,東京都,立川市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-l2px
国立科学博物館,博物館・科学館,東京都,台東区,ueno,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-2h6l
国立新美術館,博物館・科学館,東京都,港区,nogizaka,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-8bbk
札幌ステラプレイス レストラン街,子連れOKレストラン,東京都,札幌市中央区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-05m7
志津香,子連れOKレストラン,東京都,奈良市,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-dluc
舎人公園,公園,東京都,足立区,toneri-koen,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-7dim
舎人公園 じゃぶじゃぶ池（浮球の池）,公園,東京都,足立区,toneri-koen,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-irhu
渋谷スクランブルスクエア,屋内施設,東京都,渋谷区,shibuya,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-k8xz
渋谷ヒカリエ ShinQs ダイニング,子連れOKレストラン,東京都,渋谷区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/ShinQs-ze61
小金井公園,公園,東京都,小金井市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-pb7s
小石川後楽園,公園,東京都,文京区,iidabashi,4-6,〜1000円,屋外,https://kyounoko.jp/spot/-mma1
昭和記念公園 こどもの森レインボーハンモック,公園,東京都,立川市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-j3uv
松屋,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-9l36
松山三越 レストランフロア,子連れOKレストラン,東京都,松山市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-pwtq
松尾ジンギスカン,子連れOKレストラン,東京都,札幌市・滝川市ほか,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-fd7m
湘南T-SITE（藤沢） カフェ＆レストラン,子連れOKレストラン,東京都,藤沢市辻堂,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/T-SITE-w3mo
焼肉きんぐ,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-u7um
上島珈琲店・キッズ向けカフェ,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-sb44
上野恩賜公園,公園,東京都,台東区,ueno,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-r8ls
上野恩賜公園 竹の台広場 噴水,公園,東京都,台東区,ueno,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-6iam
上野松坂屋 上野フロンティアタワー レストラン,子連れOKレストラン,東京都,台東区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-mx5f
上野動物園,動物園,東京都,台東区,ueno,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-xuw1
上柚木公園 じゃぶじゃぶ池,公園,東京都,八王子市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-upgm
城南島海浜公園,公園,東京都,大田区,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-or13
新宿御苑,公園,東京都,新宿区,shinjuku-gyoemmae,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-zsp0
新宿高島屋 14Fダイニング,子連れOKレストラン,東京都,渋谷区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/14F-3j4b
新宿中央公園 ジャブジャブ池,公園,東京都,新宿区,tochomae,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-i5cr
新千歳空港 ターミナルビル ファミリーレストラン,子連れOKレストラン,東京都,千歳市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-3q84
神戸ハーバーランド umie レストラン街,子連れOKレストラン,東京都,神戸市中央区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/umie-trpj
神戸三宮センタープラザ レストラン,子連れOKレストラン,東京都,神戸市中央区,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-qx3m
神代植物公園,公園,東京都,調布市,,0-1/2-3,〜1000円,屋外,https://kyounoko.jp/spot/-fpr3
神田明神,季節体験,東京都,千代田区,akihabara,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-at0y
水元公園,公園,東京都,葛飾区,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-8e8q
水元公園 水遊び場,公園,東京都,葛飾区,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-arrb
杉並アニメーションミュージアム,博物館・科学館,東京都,杉並区,,4-6,無料,屋内,https://kyounoko.jp/spot/-0u6l
世界の山ちゃん,子連れOKレストラン,東京都,名古屋市ほか,,4-6,,屋内,https://kyounoko.jp/spot/-bpew
清水池公園 じゃぶじゃぶ池,公園,東京都,目黒区,gakugei-daigaku,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-kb9h
清澄庭園,公園,東京都,江東区,kiyosumi-shirakawa,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-8qfa
盛岡駅 フェザン レストラン街,子連れOKレストラン,東京都,盛岡市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-9jec
石神井公園,公園,東京都,練馬区,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-wzls
仙台パルコ・エスパル仙台 レストランフロア,子連れOKレストラン,東京都,仙台市青葉区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-1z7k
川崎アゼリア・チネチッタ周辺 レストラン,子連れOKレストラン,東京都,川崎市川崎区,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-4o8i
浅草寺・仲見世,季節体験,東京都,台東区,asakusa,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-5cv5
善福寺公園,公園,東京都,杉並区,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-imps
足立区生物園,動物園,東京都,足立区,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-o6rm
多摩動物公園,動物園,東京都,日野市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-phb0
多摩六都科学館,博物館・科学館,東京都,西東京市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-9vly
代々木公園,公園,東京都,渋谷区,harajuku,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-r3xk
台場海浜公園 ビーチ,季節体験,東京都,港区,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-tzd6
大横川親水公園 じゃぶじゃぶ池,公園,東京都,墨田区,oshiage,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-0oi2
大丸札幌店 レストランフロア,子連れOKレストラン,東京都,札幌市中央区,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-ijlu
地下鉄博物館（葛西）,博物館・科学館,東京都,江戸川区,kasai,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-kwlo
池袋サンシャインシティ レストラン街,子連れOKレストラン,東京都,豊島区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-h60m
池袋防災館,博物館・科学館,東京都,豊島区,,4-6,無料,屋内,https://kyounoko.jp/spot/-5u8i
築地銀だこ,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-7gxd
中野サンモール～中野ブロードウェイ周辺 ファミレス・カフェ,子連れOKレストラン,東京都,中野区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-0n4j
天神地下街・ソラリアプラザ レストラン,子連れOKレストラン,東京都,福岡市中央区天神,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-qd6p
東京おもちゃ美術館,博物館・科学館,東京都,新宿区,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-gnt3
東京スカイツリータウン ソラマチ レストラン街,子連れOKレストラン,東京都,墨田区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-ln74
東京スカイツリー展望デッキ,遊園地,東京都,墨田区,tokyo-skytree,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-xur8
東京ステーションホテル ロビーラウンジ,子連れOKレストラン,東京都,千代田区,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-bex9
東京ソラマチ,屋内施設,東京都,墨田区,oshiage,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-5rxm
東京タワー,遊園地,東京都,港区,akabanebashi,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-4ulo
東京ドイツ村,公園,東京都,袖ケ浦市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-j7ru
東京ドームシティ ラクーア内 キッズOK店舗群,子連れOKレストラン,東京都,文京区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/OK-d1n8
東京ミッドタウン（六本木）,屋内施設,東京都,港区,roppongi,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-7573
東京ミッドタウン日比谷,屋内施設,東京都,千代田区,hibiya,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-o76e
東京駅前 行幸通り・丸の内仲通り,季節体験,東京都,千代田区,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-hag5
東京競馬場（パドックひろば）,公園,東京都,府中市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-huf2
東京港野鳥公園,公園,東京都,大田区,ryutsu-center,4-6,〜1000円,屋外,https://kyounoko.jp/spot/-phow
東京国立博物館,博物館・科学館,東京都,台東区,ueno,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-his7
東京消防庁 消防博物館,博物館・科学館,東京都,新宿区,yotsuya-sanchome,2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-lrwk
東京都現代美術館 こどもアトリエ,博物館・科学館,東京都,江東区,kiyosumi-shirakawa,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-5dg2
東京都水の科学館,博物館・科学館,東京都,江東区,kokusai-tenjijo,2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-qjev
東京都美術館 アートスタディルーム,博物館・科学館,東京都,台東区,ueno,4-6,無料,屋内,https://kyounoko.jp/spot/-63ut
東京臨海広域防災公園 そなエリア東京,博物館・科学館,東京都,江東区,kokusai-tenjijo,4-6,無料,屋内,https://kyounoko.jp/spot/-2f47
等々力渓谷,公園,東京都,世田谷区,todoroki,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-dogk
二子玉川ライズ S.C. レストラン街,子連れOKレストラン,東京都,世田谷区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/S.C.-xguc
二子玉川ライズ・ショッピングセンター,屋内施設,東京都,世田谷区,futako-tamagawa,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-4fto
日比谷公園,公園,東京都,千代田区,hibiya,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-mmzy
日暮里南公園 じゃぶじゃぶ池,公園,東京都,荒川区,nippori,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-x31f
日本科学未来館,博物館・科学館,東京都,江東区,telecom-center,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-ib4p
日本橋三越本店,屋内施設,東京都,中央区,mitsukoshimae,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-r3xz
日本民家園,博物館・科学館,東京都,川崎市,,4-6,〜1000円,屋外,https://kyounoko.jp/spot/-o7q3
板橋区立こども動物園,動物園,東京都,板橋区,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-g3m1
姫路駅前 ピオレ姫路 レストランフロア,子連れOKレストラン,東京都,姫路市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-y1e3
富山駅 マルート レストラン,子連れOKレストラン,東京都,富山市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-mbpn
府中の森公園,公園,東京都,府中市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-zk0u
府中市郷土の森博物館,博物館・科学館,東京都,府中市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-df3f
浮間公園,公園,東京都,板橋区,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-6v9p
武蔵国分寺公園,公園,東京都,国分寺市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-lrrv
武蔵野公園,公園,東京都,府中市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-y2nw
武蔵野公園 じゃぶじゃぶ池,公園,東京都,小金井市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-sjno
平和の森公園 じゃぶじゃぶ池,公園,東京都,大田区,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-fpyu
北千住マルイ レストラン街,子連れOKレストラン,東京都,足立区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-7hg2
本所防災館（墨田区）,博物館・科学館,東京都,墨田区,,4-6,無料,屋内,https://kyounoko.jp/spot/-p2pj
麻布台ヒルズ,屋内施設,東京都,港区,kamiyacho,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-iw08
夢の島公園,公園,東京都,江東区,shin-kiba,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-j37e
明治神宮,季節体験,東京都,渋谷区,harajuku,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-6s3p
木場公園,公園,東京都,江東区,kiba,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-scx8
野川公園,公園,東京都,調布市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-qgvh
矢場とん,子連れOKレストラン,東京都,名古屋市ほか,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-uavb
林試の森公園,公園,東京都,品川区,musashi-koyama,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-zzf7
林試の森公園 じゃぶじゃぶ池,公園,東京都,目黒区,musashi-koyama,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-3aud
六本木ヒルズ ヒルサイド・レストラン群,子連れOKレストラン,東京都,港区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-inlo
和食さと,子連れOKレストラン,東京都,複数,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-cdav
和田堀公園 じゃぶじゃぶ池,公園,東京都,杉並区,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-ogb7
檜町公園 じゃぶじゃぶ池,公園,東京都,港区,roppongi,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-pdoz
とくしまファミリーランド,遊園地,徳島県,徳島市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-i30k
とくしま動物園,動物園,徳島県,徳島市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-klxi
月見ヶ丘海浜公園,公園,徳島県,板野郡松茂町,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-g7l5
大谷焼 窯元 体験工房,博物館・科学館,徳島県,鳴門市,,4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-3p6b
徳島県立あすたむらんど,公園,徳島県,板野町,,2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-71h7
日峯大神子広域公園こども広場,公園,徳島県,徳島市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-r2m0
日和佐うみがめ博物館カレッタ,博物館・科学館,徳島県,海部郡美波町,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-iht2
板野町歴史文化公園,公園,徳島県,板野郡板野町,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-nwnk
鳴門ウチノ海総合公園,公園,徳島県,鳴門市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-emji
鳴門市ドイツ館,博物館・科学館,徳島県,鳴門市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-6jze
あしかがフラワーパーク,公園,栃木県,足利市,,0-1/2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-zfbo
ツインリンクもてぎ（モビリティリゾートもてぎ）,遊園地,栃木県,もてぎ町,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-2cwq
とちのきファミリーランド,遊園地,栃木県,宇都宮市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-aern
なかがわ水遊園,水族館,栃木県,大田原市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-z8ap
みかも山公園,公園,栃木県,栃木市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-w6el
りんどう湖ファミリー牧場,牧場,栃木県,那須町,,0-1/2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-eb58
宇都宮市子ども総合科学館,博物館・科学館,栃木県,宇都宮市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-fyee
宇都宮動物園,動物園,栃木県,宇都宮市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-ydv5
壬生町おもちゃ博物館,博物館・科学館,栃木県,壬生町,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-uvho
那須サファリパーク,動物園,栃木県,那須町,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-o0iq
那須どうぶつ王国,動物園,栃木県,那須町,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-lrt8
那須ハイランドパーク,遊園地,栃木県,那須町,,2-3/4-6,3000円〜,屋外,https://kyounoko.jp/spot/-m6fd
那須高原りんどう湖ファミリー牧場,牧場,栃木県,那須町,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-cblk
日光東照宮・日光江戸村,季節体験,栃木県,日光市,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-1kv2
うだ・アニマルパーク,牧場,奈良県,宇陀市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-mapg
キッズランドUS 奈良香芝店,屋内施設,奈良県,香芝市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/US-45q7
橿原市昆虫館,博物館・科学館,奈良県,橿原市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-runz
橿原市立こども科学館,博物館・科学館,奈良県,橿原市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-04pc
生駒山上遊園地,遊園地,奈良県,生駒市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-aped
生駒山麓公園 ふれあいセンター,公園,奈良県,生駒市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-j3pw
曽爾高原,公園,奈良県,曽爾村,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-hgfe
奈良県営馬見丘陵公園,公園,奈良県,河合町,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-zv7a
奈良県立民俗博物館・大和民俗公園,博物館・科学館,奈良県,大和郡山市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-o3cm
奈良公園,公園,奈良県,奈良市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-b42u
平城宮跡歴史公園 朱雀門ひろば,公園,奈良県,奈良市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-7xp3
ほたるいかミュージアム,博物館・科学館,富山県,滑川市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-ti1v
ミラージュランド,遊園地,富山県,魚津市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-b09s
魚津水族館,水族館,富山県,魚津市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-xydk
県民公園太閤山ランド,公園,富山県,射水市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-yr9q
高岡おとぎの森公園,公園,富山県,高岡市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-k9r9
氷見市海浜植物園,公園,富山県,氷見市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-hxhi
富山あそびマーレ,屋内施設,富山県,射水市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-4jpy
富山県こどもみらい館,屋内施設,富山県,射水市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-2kmq
富山県中央植物園,公園,富山県,富山市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-uub8
富山県美術館 オノマトペの屋上,公園,富山県,富山市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-olnj
富山市ファミリーパーク,動物園,富山県,富山市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-iuyw
富山市科学博物館,博物館・科学館,富山県,富山市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-vmbx
セーレンプラネット（福井市自然史博物館分館）,博物館・科学館,福井県,福井市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-whtg
トリムパークかなづ,公園,福井県,あわら市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-04b2
越前松島水族館,水族館,福井県,坂井市,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-dbll
鯖江市西山動物園,動物園,福井県,鯖江市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-bduk
西山公園,公園,福井県,鯖江市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-mr41
足羽山公園遊園地,動物園,福井県,福井市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-d8ex
武生中央公園 だるまちゃん広場,公園,福井県,越前市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-bo4a
福井県児童科学館 エンゼルランドふくい,博物館・科学館,福井県,坂井市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-co4s
福井県立こども歴史文化館,博物館・科学館,福井県,福井市,,4-6,無料,屋内,https://kyounoko.jp/spot/-nvk0
福井県立一乗谷朝倉氏遺跡博物館,博物館・科学館,福井県,福井市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-p08y
福井県立恐竜博物館,博物館・科学館,福井県,勝山市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-hklq
キッザニア福岡,屋内施設,福岡県,福岡市,,4-6,3000円〜,屋内,https://kyounoko.jp/spot/-jvfx
のこのしまアイランドパーク,公園,福岡県,福岡市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-r0vv
ボーネルンドあそびのせかい（ららぽーと等）,屋内施設,福岡県,複数,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-ucr9
マリンワールド海の中道,水族館,福岡県,福岡市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-q2er
モーリーファンタジー イオンモール大牟田,屋内施設,福岡県,大牟田市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-d2jq
海の中道海浜公園,公園,福岡県,福岡市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-28b8
響灘緑地（グリーンパーク）,公園,福岡県,北九州市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-bfcu
諏訪公園,公園,福岡県,大牟田市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-jfzf
大牟田市動物園,動物園,福岡県,大牟田市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-na9u
到津の森公園,動物園,福岡県,北九州市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-pn97
福岡アンパンマンこどもミュージアムinモール,屋内施設,福岡県,福岡市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/in-0rqa
福岡市動物園,動物園,福岡県,福岡市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-g4tu
北九州市立いのちのたび博物館,博物館・科学館,福岡県,北九州市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-la6v
アクアマリンふくしま,水族館,福島県,いわき市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-ouas
あぶくま洞,季節体験,福島県,田村市,,4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-zyz1
いわき市石炭・化石館 ほるる,博物館・科学館,福島県,いわき市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-b5qu
